title,genre,description,rating,available on,language, duration
Mumbai Xpress,"Tamil, road comedy",mistaken identities and chaos during a kidnapping gone wrong,⭐⭐⭐,YouTube," ""Tamil""",98 min
Eat Pray Love,"English, travel, soul-searching","woman travels across Italy, India, and Bali to rediscover herself",⭐⭐⭐,Netflix," ""English""",133 min
Us and Them,"Chinese, romance, regret",two lovers reconnect on a train years after their relationship ended,⭐⭐⭐⭐,Netflix," ""Chinese""",126 min
Barfi! (Bengali dubbed),"romance, humor, emotion",deaf-mute boy navigates love and loss with charm and heart,⭐⭐⭐⭐⭐,Netflix," ""Bengali""",125 min
Maryan,"Tamil, survival, romance",deep love story set against working-class backdrop and African landscapes,⭐⭐⭐⭐,Disney+ Hotstar," ""Tamil""",153 min
Shaun of the Dead,"comedy, horror, British",zombie outbreak tackled with dry humor and cricket bats,⭐⭐⭐⭐⭐,Amazon Prime Video," ""English""",99 min
Beetlejuice,"comedy, fantasy, supernatural","eccentric ghost haunts new tenants, weirdly hilarious",⭐⭐⭐⭐,Amazon Prime Video," ""English""",105 min
The Cabin in the Woods,"horror, meta, sci-fi",college kids trapped in orchestrated nightmare,⭐⭐⭐⭐,Amazon Prime Video," ""English""",95 min
Scary Movie (Series),"parody, horror, slapstick","spoofs on horror clichés, chaotic and silly",⭐⭐⭐,Netflix," ""English""",90 min
Tucker and Dale vs. Evil,"comedy, horror, mistaken identity","two hillbillies mistaken for killers, gory laughs",⭐⭐⭐⭐,Amazon Prime Video," ""English""",89 min
Ghostbusters (1984 & 2016),"comedy, paranormal, classic",ghost-hunting squad busts spirits in New York,⭐⭐⭐⭐,Netflix," ""English""",110 min
Warm Bodies,"romance, horror, comedy","zombie falls in love, gains humanity",⭐⭐⭐⭐,Amazon Prime Video," ""English""",98 min
Deadstream,"horror, comedy, found footage",streamer’s haunted house vlog goes viral and deadly,⭐⭐⭐⭐,Shudder," ""English""",90 min
What We Do in the Shadows,"comedy, horror, mockumentary",vampires as quirky roommates in New Zealand,⭐⭐⭐⭐⭐,Disney+ Hotstar," ""English""",86 min
Happy Death Day,"horror, comedy, time-loop",college girl relives murder day over and over,⭐⭐⭐⭐,Amazon Prime Video," ""English""",96 min
Stree,"horror, comedy, satire","feminist ghost haunts men, small-town chaos",⭐⭐⭐⭐,"JioCinema, Netflix"," ""Hindi""",120 min
Bhoot Police,"horror, comedy",fake ghostbusters encounter real spirits,⭐⭐⭐,Disney+ Hotstar," ""Hindi""",133 min
Roohi,"horror, comedy, absurd",woman possessed by a ghost who wants marriage,⭐⭐⭐,JioCinema," ""Hindi""",121 min
Bhool Bhulaiyaa (1 & 2),"horror, psychological, comedy",mix of psychology and spirits,⭐⭐⭐⭐,Netflix," ""Hindi""",150 min
Munafik 2,"horror, supernatural, religious",Islamic horror with a strong moral message,⭐⭐⭐,Netflix," ""Malay""",130 min
Kanchana,"horror, comedy, social message",ghost of a trans woman seeks justice through possession,⭐⭐⭐⭐,Sun NXT," ""Tamil""",160 min
Muni,"horror, comedy, revenge",humorous ghost possession with local flavor,⭐⭐⭐,YouTube," ""Tamil""",150 min
Zombie Reddy,"action, horror, comedy",COVID-zombie apocalypse meets Telugu politics,⭐⭐⭐,ZEE5," ""Telugu""",125 min
Ghudchadi (upcoming),"rom-com, horror"," quirky love story involving two couples across generations, wedding ghost chaos, starring Sanjay Dutt",TO BE ANNOUNCED,TO BE ANNOUNCED,"""Hindi""",TO BE ANNOUNCED
Pretham,"horror, comedy, psychic",sarcastic psychic handles a spooky hostel case,⭐⭐⭐⭐,Sun NXT," ""Malay""",118 min
Raise the Red Lantern," ""psychological drama"," historical""","tradition vs. personal freedom,  quiet rebellion,  female agency under patriarchal systems","free unofficial sites  (M4uHD, KissAsian, SFlix)","""Mandarin""",125 min
Burnt by the Sun," ""historical drama"," political tragedy""","Stalinism, betrayal, innocence destroyed","Netflix, Amazon Prime, Apple TV","""Russian""",135 minutes
The Great Beauty," ""drama"""," ""celebration vs. critique of decadence","spiritual emptiness, aging, lost love","Netflix, HULU, Amazon Prime, Apple TV","""Italian""",173 minutes
